boundary_index,reference_boundary,left_target_anchor,right_target_anchor,raw_target_boundary,adjusted_target_boundary,adjustment_frames,local_mean_cosine_distance,local_mean_cosine_similarity,confidence,method
1,56,34.0,34.0,34,34,0,0.6189574400583903,0.38104255994160974,0.6905212799708049,two_sided_median
2,85,59.0,62.0,61,61,0,0.7721652885278066,0.22783471147219336,0.6139173557360966,two_sided_median
3,114,88.0,91.0,90,90,0,0.7578478455543518,0.2421521544456482,0.6210760772228241,two_sided_median
4,133,107.0,110.0,109,109,0,0.7215347985426585,0.27846520145734155,0.6392326007286708,two_sided_median
5,149,123.0,126.0,125,125,0,0.7239056130250295,0.27609438697497046,0.6380471934874852,two_sided_median
6,176,150.0,153.0,152,152,0,0.7289417187372843,0.2710582812627157,0.6355291406313579,two_sided_median
7,201,172.0,172.0,172,172,0,0.69399427374204,0.30600572625795996,0.6530028631289799,two_sided_median
8,219,181.0,184.0,183,183,0,0.7252930204073588,0.27470697959264123,0.6373534897963207,two_sided_median
